review,ulasan
"Kualitas produk: Good quality, good colour, nice product, happy adventure.",
"Bahan bagus, model keren dan kekinian. Warna sesuai dengan pesanan. Back system nyaman di bahu dan punggung. Pas banget digunakan untuk kegiatan outdoor.",
"Produk berkualitas, harga affordable, value for money dan fungsional. 100% original product and design.",
"Stikernya lupa. Min, apa memang seri ini tidak ada mantelnya?",
"Model keren, bahan bagus, warna dan ukuran sesuai pesanan. Back system nyaman di bahu dan punggung.",
"Model dan warna keren. Bahan bagus, jahitan kokoh. Nyaman di punggung.",
Alhamdulillah mantap asli paten. Produk sampai dalam keadaan aman. Pengiriman cepat 2 hari sampai. Dapat harga miring. Sehat selalu Consina.,
"Barang bagus, Alhamdulillah no minus. Pengiriman cepat. Warna hitam bagus, hanya efek kamera tampak pudar.",
Sudah beberapa kali belanja di sini. Selalu memuaskan dan kualitas barang tidak perlu diragukan.,
"Barang sudah diterima dengan aman. Barang oke, pengiriman cepat. Kualitas bagus dari official store. Semoga awet.",
"Respons penjual sangat cepat, good job. Nyaman dipakai.",
"Bahan bagus, warna sesuai pesanan, model keren. Back system nyaman di punggung. Mantap untuk kegiatan outdoor.",
Buat yang low budget ini sudah cakep banget. Back system nyaman. Harga 575 ribu tapi dapat diskon jadi 400 ribu.,
"Real picture, tapi kain rawan robek jika muatan berlebih. Gunakan secukupnya agar awet.",
"Bagus dan kokoh, tapi tidak dapat rain cover. Cukup kecewa tapi tidak masalah, mungkin admin lupa.",
"Bagus banget, hanya kurang luas bagian dalam. Tapi tetap bagus, dapat harga diskon. Terima kasih seller.",
"Akhirnya yang ditunggu sampai juga. Pas datang bagus banget, tidak menyesal beli.",
"Warna navy talinya tidak sesuai foto, tapi kualitas bagus.",
"Pengiriman cepat, barang bagus sekali. Dapat harga diskon.",
"Packing kurang rapi, tidak double wrap atau dikardusin sehingga kurang aman.",
,"Makanya jualan yang jujur sesuaikan disitu awalnya di tulis 50 L sekali datang cuma 32 L sekali komplen bilang maksimal 40 L barang datang ga sampe 40 L ya dah komplen baru diganti,tolong jualan yang jujur"
,"modelnya emang oke, tp klaim volume 50 liter sepertinya kurang tepat. mungkin 35+5? dan di foto adatulisan include rain cover. ternyata di deskrisi tanpa rain cover"
